"","temperature","lowerCI","upperCI","lowerQ","upperQ","mean","median","treatment","scaled_median"
"215",21.4,4.4601518216549,61.0722223431646,14.574112197048,32.0786925041619,24.8793344274497,22.2135418755364,"S",0.358777240149229
"216",21.5,4.65916316517011,63.2858737608202,15.0897836623927,33.183737961468,25.760820734387,23.0045440460482,"S",0.37155294144344
"217",21.6,4.87630177710655,65.5262761981284,15.6424039617111,34.3504484232563,26.6555007807671,23.8105863547582,"S",0.384571560292374
"218",21.7,5.06411308611043,67.6811908454764,16.1961929077394,35.5202696513958,27.5628880300365,24.6198543676494,"S",0.397642278408062
"219",21.8,5.24439613609026,69.726310558945,16.7594234474858,36.7224184730618,28.4825028680636,25.4055519779205,"S",0.410332304239348
"220",21.9,5.42910669710954,71.9341009529582,17.2907704527133,37.8852963293907,29.4139814387349,26.2210776519779,"S",0.423504091622403
"221",22,5.60842469525825,74.1219796429014,17.8307431367021,39.0784176670185,30.3565292547495,27.0846477920159,"S",0.437451858856198
"222",22.1,5.76949332023218,76.4373680395403,18.4016834721943,40.2989690555198,31.3095106632598,27.9431537687739,"S",0.451317833346833
"223",22.2,5.96290148845066,78.746466054904,18.9612598116448,41.5156225386328,32.2723032450709,28.8223488549995,"S",0.465517963535714
"224",22.3,6.11181706395818,81.1193992195643,19.5433428278617,42.7935280785217,33.2444090194165,29.7167586378422,"S",0.479963830622052
"225",22.4,6.26638189975452,83.6824752402456,20.1441436641032,44.0974279721431,34.2251379905032,30.6030475272882,"S",0.49427853484671
"226",22.5,6.44790894944773,85.9991620415761,20.700562553774,45.3810978121148,35.2137142969884,31.4711545137259,"S",0.508299577978573
"227",22.6,6.66035122640164,88.4151625278133,21.28440176909,46.6536489489578,36.209407876043,32.3325977863995,"S",0.522212993571939
"228",22.7,6.83008638153076,90.641541605362,21.8827165718804,47.9065104187365,37.2114398117212,33.2032178447526,"S",0.536274626043908
"229",22.8,6.98241561554324,92.9433359879963,22.47529087307,49.2678082703191,38.2190256021599,34.1121474183018,"S",0.550955006404463
"230",22.9,7.16467794685658,95.4506700679763,23.0740042291592,50.6317852725864,39.2309923584448,35.0257701060069,"S",0.565711186588117
"231",23,7.34778441120141,97.9563064075529,23.6821813639999,51.9372304296297,40.2460491903846,35.9253069088787,"S",0.580239861634865
"232",23.1,7.52490169418671,100.429597193965,24.2409719500861,53.2642809226795,41.2659361113967,36.8210154555567,"S",0.59470670542573
"233",23.2,7.67450652645862,102.999515191094,24.7863047637441,54.6195083096288,42.288223540412,37.729199067656,"S",0.609375037550496
"234",23.3,7.82763438759808,105.607342684683,25.3552642836946,55.954344963793,43.3121551475159,38.6609562980387,"S",0.624424113896755
"235",23.4,8.00527660539917,108.421644906057,25.9043505031158,57.310624116871,44.3366159505619,39.5495693726965,"S",0.638776356698582
"236",23.5,8.13930746311661,110.978018234484,26.4904041704716,58.6272747973684,45.3606641447475,40.4454187897442,"S",0.6532454757269
"237",23.6,8.26250353415196,113.691309570693,27.0842662611769,59.8898812210475,46.3833332914594,41.3637647775857,"S",0.66807794327602
"238",23.7,8.4195242586567,116.31237114689,27.6636850709986,61.1865029759544,47.403621030572,42.2778942189041,"S",0.68284230818158
"239",23.8,8.53135266075223,118.782369050413,28.2135937675768,62.5188902010489,48.420490367774,43.172073223593,"S",0.697284447904241
"240",23.9,8.66205883679015,121.240440964941,28.8176849678567,63.7624957628125,49.4328779969707,44.0488598587833,"S",0.711445678514643
"241",24,8.72644583243977,123.89578047998,29.3545561857575,65.0413574713069,50.439708352898,44.9282211654863,"S",0.725648493377786
"242",24.1,8.83859888641123,126.434924140829,29.866703398918,66.3432708834652,51.4397802009282,45.8077735205177,"S",0.739854393916883
"243",24.2,8.90192228929005,129.169165915182,30.4017186485985,67.6797935055914,52.4317039210945,46.6997109885558,"S",0.754260329942817
"244",24.3,9.01289286717386,131.8219552612,30.9244790630937,68.9365524614757,53.4126593578518,47.5519721346371,"S",0.768025442394974
"245",24.4,9.08496369841636,134.527823695801,31.4366767107912,70.2313426980336,54.3813288900908,48.3927400196696,"S",0.781604923915222
"246",24.5,9.18753092369777,137.08543156526,31.9405572648319,71.4349459242332,55.34244187798,49.2761246553728,"S",0.795872720710692
"247",24.6,9.22297094153888,139.756147184577,32.4224217079919,72.6845474195799,56.2874969109084,50.0582107537472,"S",0.808504415984955
"248",24.7,9.25436621616502,142.377088868181,32.8850726774914,73.9218436915335,57.2049082622936,50.7981482401332,"S",0.820455357025153
"249",24.8,9.23405447875827,145.34349459342,33.3681090349627,75.0797218097991,58.1170776342606,51.5828449322261,"S",0.83312921674193
"250",24.9,9.22151258753827,147.859766868237,33.7852906014854,76.3008871411823,59.0135942938531,52.3287138002024,"S",0.84517595721516
"251",25,9.20277343417954,150.592422135767,34.1812773022011,77.4495038678485,59.8900750686549,53.0849787210202,"S",0.857390607298111
"252",25.1,9.26663644291509,153.293791552294,34.5625768488197,78.6535500141818,60.7470785079777,53.8329021652717,"S",0.869470531817802
"253",25.2,9.13622068170071,156.118213828451,34.9707740805419,79.7902763749273,61.5761665281972,54.5058780776977,"S",0.88033995740963
"254",25.3,8.99869748001928,158.393399319142,35.3459338609736,80.8480980602905,62.3833810846041,55.1936148264477,"S",0.891447789472083
"255",25.4,8.86621951454992,160.687395725603,35.6627793494261,81.9372396548995,63.1584749218051,55.8420898664707,"S",0.901921494497095
"256",25.5,8.49863497617877,162.750989582774,35.9566879283027,83.0305488973931,63.880557357275,56.4717829981132,"S",0.912091847571695
"257",25.6,8.2203641841655,165.265973472872,36.2319113602199,84.0011359268685,64.5802973961119,57.0666428522499,"S",0.921699598462506
"258",25.7,7.89953969078213,167.788835081674,36.4802234142596,84.9423937023117,65.2387082471868,57.5968202350808,"S",0.93026264434089
"259",25.8,7.33087778295247,169.887170564483,36.631609226571,85.9151645532411,65.8575455474706,58.1531060458895,"S",0.93924737487393
"260",25.9,6.53905629253837,172.000795154227,36.8135823799564,86.8096397819502,66.4397513074199,58.6570492798908,"S",0.94738670554438
"261",26,5.88446064137624,174.210823437988,36.9887715445666,87.6535632106103,66.9821877206008,59.0277004461281,"S",0.953373198073387
"262",26.1,4.93646995106011,176.421229517698,37.1101477134085,88.5258283365933,67.5025106854384,59.4604884983831,"S",0.960363281141978
"263",26.2,3.76671856352069,178.581475061768,37.2142649312484,89.4106357583462,67.986269648358,59.8677510519734,"S",0.966941094613237
"264",26.3,3.10245804630279,180.444915701391,37.2360255267713,90.1093589068876,68.4390217324186,60.2095889653769,"S",0.972462216091137
"265",26.4,1.80312460387367,182.75886971211,37.2733228495828,90.8446041137756,68.8613398103492,60.6268903819344,"S",0.979202170096749
"266",26.5,0.583991220401637,184.494825654521,37.2882248757482,91.4939445750004,69.2350576357889,60.9912625785736,"S",0.98508724919984
"267",26.6,0,185.821789985572,37.2190793192551,92.0467911245159,69.5443452314519,61.2551715266249,"S",0.989349717768024
"268",26.7,0,187.756076736467,37.1431024194375,92.6846037788839,69.8039057019232,61.491836894618,"S",0.993172167517065
"269",26.8,0,189.620916253675,36.9015355881237,93.1856514101394,70.0327399468483,61.6214383393174,"S",0.995265397354483
"270",26.9,0,191.282620444903,36.6732608602248,93.6673067992835,70.231326872855,61.7183994116967,"S",0.996831443244197
"271",27,0,192.527034235016,36.383603255686,93.9992882547507,70.3428616348157,61.8062380118275,"S",0.998250149486995
"272",27.1,0,193.73992384089,36.2262531119295,94.3453068402194,70.4809768270461,61.9145792701258,"S",1
"273",27.2,0,195.201604714908,36.0022247939421,94.7550951740283,70.5811579592264,61.8753112790805,"S",0.999365771495048
"274",27.3,0,196.291104356629,35.6236919759045,95.0355596899252,70.5861418074095,61.8156671386162,"S",0.998402441998708
"275",27.4,0,197.663126578475,35.2764882635509,95.2625422031349,70.54742029962,61.7288137595902,"S",0.996999648342515
"276",27.5,0,198.834666482333,34.8959919433433,95.5434942012952,70.4849262618059,61.4876555404689,"S",0.99310463327556
"277",27.6,0,199.789448678663,34.4564023834305,95.600196517435,70.3247916952791,61.2376708985831,"S",0.989067060141209
"278",27.7,0,200.586089874633,33.8651663017027,95.6915894814028,70.1418192708089,61.0151418114676,"S",0.985472929489934
"279",27.8,0,201.682014348178,33.349756563475,95.6386952093033,69.8834444275896,60.7271577246438,"S",0.980821616500026
"280",27.9,0,202.371498407242,32.8283323288272,95.5652356202363,69.6226181306301,60.4155211315865,"S",0.975788285146878
"281",28,0,202.512932364123,32.156128128894,95.3391151214161,69.219452034917,60.0432998300216,"S",0.969776432915098
"282",28.1,0,202.815237069786,31.449717119369,95.2532675683999,68.8485044908345,59.5003272036976,"S",0.961006727415604
"283",28.2,0,202.956506900951,30.7844863434442,94.882904555322,68.4226258210496,59.0086509809174,"S",0.953065524736425
